ts.ts/tt.tt,ID
0.06250,34B_357
0.00000,34B_357
0.36364,34B_357
0.00000,34B_357
0.98990,34B_357
1.01010,34B_357
1.01010,34B_357
0.51515,34B_357
0.53535,34B_357
0.30303,34B_357
0.09091,34B_357
0.00000,34B_357
0.00000,34B_357
0.00000,34B_357
0.00000,34B_357
0.00000,34B_357
0.90909,34B_357
1.01010,34B_357
0.91919,34B_357
0.40404,34B_357
0.00000,34B_357
0.00000,34B_357
0.00000,34B_357
0.31579,34B_37
0.00000,34B_37
0.00000,34B_37
0.89899,34B_37
1.01010,34B_37
0.61616,34B_37
0.00000,34B_37
0.32323,34B_37
0.25253,34B_37
0.76768,34B_37
0.00000,34B_37
0.00000,34B_37
0.00000,34B_37
0.00000,34B_37
0.61616,34B_37
1.01010,34B_37
0.82828,34B_37
0.00000,34B_37
0.00000,34B_37
0.00000,34B_37
0.27273,34B_371
0.10101,34B_371
1.01010,34B_371
1.01010,34B_371
1.01010,34B_371
1.01010,34B_371
0.55556,34B_371
0.00000,34B_371
0.00000,34B_371
0.00000,34B_371
0.50505,34B_371
1.01010,34B_371
1.01010,34B_371
1.01010,34B_371
